bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
133,0.5125000000000002,0.5250000000000001,[2.172314596041233143111938007750944223666840659 +/- 7.65e-46],2.1723145960412333,True,1199,50,225,350,25,21,[178.389995308439751161799831846 +/- 1.52e-28]
134,0.5250000000000001,0.5375000000000001,[2.162892888584276480912734797085745055026669729 +/- 7.62e-46],2.1628928885842766,True,1213,50,226,356,25,21,[177.488046842220991363853697898 +/- 4.14e-28]
135,0.5375000000000001,0.55,[2.153686935838971910421598081373592339600230095 +/- 9.06e-46],2.153686935838972,True,1221,50,228,358,25,21,[177.189384625049586124413229178 +/- 4.14e-28]
136,0.55,0.5625,[2.144695616426513068107341290349202713178387510 +/- 8.62e-46],2.144695616426513,True,1231,50,225,366,25,21,[175.832650669604765912337675602 +/- 4.96e-28]
137,0.5625,0.5750000000000002,[2.135914269235857563084028433273316396802159552 +/- 6.47e-46],2.1359142692358577,True,1243,50,230,367,25,21,[175.106203888299664775295235906 +/- 1.40e-29]
138,0.5750000000000002,0.5875000000000001,[2.12733869122816424421450398471166724174346071 +/- 9.58e-46],2.1273386912281644,True,1237,50,226,368,25,21,[174.970457802611546005597423519 +/- 2.51e-28]
139,0.5875000000000001,0.6000000000000001,[2.118964646973410090561593349233717354993050395 +/- 9.23e-46],2.11896464697341,True,1263,50,227,380,25,21,[174.506628113022057132283723438 +/- 2.65e-28]
140,0.6000000000000001,0.6125,[2.11078792622115340837034106027016939809280026 +/- 1.97e-45],2.1107879262211533,True,1263,50,228,379,25,21,[174.363620401399280178837361336 +/- 3.80e-28]
141,0.6125,0.625,[2.10280457079350264870160315527670415949871993 +/- 5.05e-45],2.1028045707935026,True,1265,50,226,382,25,21,[174.814713374382042377651178939 +/- 8.27e-29]
142,0.625,0.6375000000000002,[2.095010398819952329191538651478827504426716601 +/- 5.74e-46],2.0950103988199524,True,1277,50,226,388,25,21,[175.009193689704078579733470665 +/- 3.63e-28]
143,0.6375000000000002,0.6500000000000001,[2.087401331747801455511351533457345148800007560 +/- 5.70e-46],2.0874013317478015,True,1309,50,225,405,25,21,[175.055667517563596125317561181 +/- 9.51e-29]
